,Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
12,Rio Shipston,871160,€75k,"Jun 20, 2025","Nov 7, 2004",21,1.74,England,[],Central Midfield,,Sheff Wed,,,"Jul 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
13,Kieron Evans,702234,,,"Dec 19, 2001",23,1.7,Wales,[],Attacking Midfield,,Eastleigh,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
14,Kaide Gordon,732119,€1.00m,"May 27, 2025","Oct 5, 2004",21,1.73,England,[],Right Winger,,Liverpool U21,,,"Jul 1, 2021",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
15,Ben Gannon-Doak,719673,€18.00m,"Oct 17, 2025","Nov 11, 2005",20,1.73,Scotland,['Scotland'],Right Winger,"             0
0  Left Winger",Bournemouth,,,"Aug 18, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
16,Daniel Jebbison,746740,€4.00m,"May 30, 2025","Jul 11, 2003",22,1.9,Canada,"['Canada', 'England']",Centre-Forward,,Preston,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
17,Lukas Jensen,581890,€900k,"May 27, 2025","Mar 18, 1999",26,1.98,Denmark,[],Goalkeeper,,Millwall,,,"Jul 11, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
18,Festy Ebosele,586756,€4.50m,"Oct 1, 2025","Aug 2, 2002",23,1.8,Ireland,[],Right-Back,,Basaksehir,,,"Jan 31, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
19,Stefan Bajic,465836,€600k,"Oct 10, 2025","Dec 23, 2001",23,1.88,France,[],Goalkeeper,,R. Strasbourg,,,"Aug 16, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
20,Aaron Ramsey,646658,€10.00m,"May 27, 2025","Jan 21, 2003",22,1.81,England,[],Attacking Midfield,,Leicester,,,"Sep 1, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
21,Adam Forshaw,121257,€250k,"May 27, 2025","Oct 8, 1991",34,1.75,England,[],Central Midfield,,Blackburn,,,"Jan 11, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
22,Emmanuel Dennis,448854,€2.00m,"Oct 21, 2025","Nov 15, 1997",28,1.75,Nigeria,[],Centre-Forward,,Without Club,Nott'm Forest,"Aug 31, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
23,Adam Davies,121254,€350k,"May 27, 2025","Jul 17, 1992",33,1.85,Wales,"['Germany', 'Wales']",Goalkeeper,,Sheff Utd,,,"Jan 25, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
24,Regan Poole,340194,€1.00m,"Oct 6, 2025","Jun 18, 1998",27,1.8,Wales,['Wales'],Centre-Back,"                    0
0          Right-Back
1  Defensive Midfield",Portsmouth,,,"Jul 10, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
25,Xavier Simons,599739,€700k,"Jun 18, 2025","Feb 20, 2003",22,1.8,England,['England'],Defensive Midfield,"                  0
0  Central Midfield
1        Right-Back",Bolton,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
26,Dara O'Shea,401320,€15.00m,"Oct 6, 2025","Mar 4, 1999",26,1.89,Ireland,[],Centre-Back,,Ipswich,,,"Aug 25, 2024","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
27,Mateo Joseph,834742,€3.50m,"May 27, 2025","Oct 19, 2003",22,1.85,Spain,"['England', 'Spain']",Centre-Forward,,RCD Mallorca,,,"Aug 9, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
28,Joe Rothwell,183293,€1.50m,"Oct 8, 2025","Jan 11, 1995",30,1.85,England,[],Central Midfield,,Rangers,,,"Jul 2, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
29,Ryan Oné,1031293,€700k,"Oct 6, 2025","Jun 26, 2006",19,1.88,Scotland,[],Centre-Forward,,Sheff Utd,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
30,Egil Selvik,380744,€1.50m,"May 27, 2025","Jul 30, 1997",28,1.93,Norway,['Norway'],Goalkeeper,,Watford,,,"Jan 31, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
31,Micah Hamilton,652797,€3.20m,"Dec 30, 2024","Nov 13, 2003",22,1.77,England,[],Left Winger,,Middlesbrough,,,"Aug 9, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
32,Akin Famewo,425713,€800k,"May 27, 2025","Nov 9, 1998",27,1.88,England,"['Nigeria', 'England']",Centre-Back,"           0
0  Left-Back",Hull City,,,"Jul 29, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
33,Isaac Price,612749,€10.00m,"Oct 6, 2025","Sep 26, 2003",22,1.88,Northern Ireland,"['Northern Ireland', 'England']",Central Midfield,"                    0
0  Defensive Midfield
1  Attacking Midfield",West Brom,,,"Jan 22, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
34,Jaydon Banel,706889,€1.00m,"May 27, 2025","Oct 19, 2004",21,1.73,Netherlands,"['Suriname', 'Netherlands']",Left Winger,"                0
0    Right Winger
1  Centre-Forward",Burnley,,,"Feb 3, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
35,Brenden Aaronson,393323,€15.00m,"May 27, 2025","Oct 22, 2000",25,1.77,United States,[],Attacking Midfield,,Leeds,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
36,Yu Hirakawa,936237,€1.00m,"May 27, 2025","Jan 3, 2001",24,1.72,Japan,['Japan'],Right Winger,"             0
0  Left Winger",Bristol City,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
37,Elijah Morrison,1062863,€100k,"May 27, 2025","Mar 18, 2006",19,1.75,England,[],Left-Back,,Bristol City,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
38,Kenzo Goudmijn,412943,€1.50m,"May 27, 2025","Dec 18, 2001",23,1.76,Netherlands,"['Suriname', 'Netherlands']",Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Go Ahead Eagles,,,"Sep 2, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
39,Jonathan Varane,812902,€1.40m,"May 27, 2025","Sep 9, 2001",24,1.9,Martinique,[],Central Midfield,,QPR,,,"Aug 4, 2024","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
40,Murphy Cooper,921746,€250k,"Jun 18, 2025","Dec 27, 2001",23,1.86,England,[],Goalkeeper,,Barnsley,,,"Jul 1, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
41,Sol Sidibé,962019,€1.20m,"May 27, 2025","Feb 10, 2007",18,1.84,England,[],Central Midfield,,PSV U21,,,"Aug 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
42,Louie Sibley,537270,€1.50m,"Jun 18, 2025","Sep 13, 2001",24,1.83,England,[],Central Midfield,,Oxford United,,,"Jul 3, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
43,Marvelous Nakamba,324882,€1.80m,"May 27, 2025","Jan 19, 1994",31,1.77,Zimbabwe,['Zimbabwe'],Defensive Midfield,"                  0
0  Central Midfield",Luton,,,"Jul 20, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
44,Bashir Humphreys,612517,€12.00m,"Oct 17, 2025","Mar 15, 2003",22,1.86,England,"['Uganda', 'England']",Centre-Back,"            0
0   Left-Back
1  Right-Back",Burnley,,,"Jul 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
45,Marko Marosi,289411,€200k,"Jun 18, 2025","Oct 23, 1993",32,1.93,Slovakia,['Slovakia'],Goalkeeper,,Port Vale,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
46,Chiedozie Ogbene,392591,€7.00m,"May 30, 2025","May 1, 1997",28,1.81,Ireland,[],Right Winger,,Sheff Utd,,,"Sep 1, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
47,Tristan Crama,732529,€800k,"Oct 6, 2025","Nov 8, 2001",24,1.92,France,['France'],Centre-Back,"            0
0  Right-Back",Millwall,,,"Jan 17, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
48,Aynsley Pears,354456,€1.40m,"May 27, 2025","Apr 23, 1998",27,1.85,England,['England'],Goalkeeper,,Blackburn,,,"Oct 16, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
49,Hidde ter Avest,258519,€1.50m,"May 27, 2025","May 20, 1997",28,1.82,Netherlands,[],Right-Back,,Oxford United,,,"Aug 19, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
50,Junior Firpo,374139,€8.00m,"May 27, 2025","Aug 22, 1996",29,1.84,Dominican Republic,[],Left-Back,,Real Betis,,,"Jul 17, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
51,Riley McGree,428061,€3.00m,"May 27, 2025","Nov 2, 1998",27,1.78,Australia,[],Central Midfield,,Middlesbrough,,,"Jan 14, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
52,Ted Cann,503880,€100k,"Dec 30, 2024","Dec 27, 2000",24,1.88,England,['England'],Goalkeeper,,Rotherham,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
53,Connor Ogilvie,236509,€500k,"Oct 6, 2025","Feb 14, 1996",29,1.84,England,['England'],Left-Back,"             0
0  Centre-Back",Portsmouth,,,"Aug 2, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
54,Mustapha Bundu,457728,€1.00m,"May 27, 2025","Feb 28, 1997",28,1.89,Sierra Leone,[],Right Winger,,Hannover 96,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
55,Marcelino Núñez,715558,€8.00m,"Oct 6, 2025","Mar 1, 2000",25,1.73,Chile,[],Central Midfield,,Ipswich,,,"Aug 29, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
56,Maximilian Wöber,263361,€5.00m,"Oct 14, 2025","Feb 4, 1998",27,1.88,Austria,['Austria'],Centre-Back,"           0
0  Left-Back",Werder Bremen,,,"Jul 4, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
57,Marcus Edwards,314367,€10.00m,"Oct 17, 2025","Dec 3, 1998",26,1.68,England,"['Cyprus', 'England']",Right Winger,"                    0
0  Attacking Midfield
1         Left Winger",Burnley,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
58,Malcolm Ebiowei,512354,€1.00m,"Oct 21, 2025","Sep 4, 2003",22,1.85,England,"['England', 'Netherlands']",Right Winger,"                0
0     Left Winger
1  Centre-Forward",Without Club,Blackpool,"Sep 4, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
59,Isaak Davies,547039,€1.20m,"May 27, 2025","Sep 25, 2001",24,1.75,Wales,[],Centre-Forward,,Cardiff,,,"Jul 1, 2021","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
60,Jameson Horlick,733540,,,"Mar 22, 2003",22,,England,['England'],Goalkeeper,,Without Club,Luton,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
61,Christian Saydee,655835,€400k,"May 27, 2025","May 10, 2002",23,1.84,England,[],Centre-Forward,,Wigan,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
62,Josh Windass,280813,€600k,"May 27, 2025","Jan 9, 1994",31,1.75,England,['England'],Attacking Midfield,"                  0
0  Central Midfield
1    Second Striker",Wrexham,,,"Jul 23, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
63,Dion Sanderson,495993,€2.50m,"May 27, 2025","Dec 15, 1999",25,1.88,England,[],Centre-Back,,Derby,,,"Aug 5, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
64,Tom McIntyre,339235,€600k,"Jun 18, 2025","Nov 6, 1998",27,1.85,Scotland,"['Scotland', 'England']",Centre-Back,"                    0
0  Defensive Midfield
1           Left-Back",Bradford,,,"Sep 1, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
65,Simon Eastwood,49089,€50k,"May 27, 2025","Jun 26, 1989",36,1.88,England,['England'],Goalkeeper,,Oxford United,,,"Jul 1, 2016","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
66,Uros Racic,417575,€3.00m,"Sep 23, 2025","Mar 17, 1998",27,1.93,Serbia,"['Yugoslavia (Republic)', 'Serbia']",Defensive Midfield,"                  0
0  Central Midfield",Aris Saloniki,,,"Jul 14, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
67,Aimar Govea,1028956,,,"Jun 8, 2006",19,,Ecuador,"['Ecuador', 'Spain']",Left Winger,"              0
0  Right Winger",Girona FC B,,,"Aug 30, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
68,Daniel Holman,998599,,,"Nov 23, 2006",19,,England,['England'],Goalkeeper,,Tavistock FC,,,"Jul 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
69,Anthony Scully,325216,€175k,"Jun 30, 2025","Apr 19, 1999",26,1.73,Ireland,"['Ireland', 'England']",Left Winger,"                0
0  Centre-Forward
1    Right Winger",Shrewsbury,,,"Jul 24, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
70,Liam Cullen,296978,€3.00m,"May 27, 2025","Apr 23, 1999",26,1.78,Wales,[],Centre-Forward,,Swansea,,,"Jan 1, 2020","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
71,Ji-sung Eom,706968,€1.40m,"May 27, 2025","May 9, 2002",23,1.76,"Korea, South","['Korea, South']",Left Winger,"              0
0  Right Winger",Swansea,,,"Jul 15, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
72,Eiran Cashin,581330,€8.00m,"May 30, 2025","Nov 9, 2001",24,1.84,Ireland,"['Ireland', 'England']",Centre-Back,,Birmingham,,,"Jul 25, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
73,Sam Colechin,1224836,,,"Sep 8, 2007",18,,England,['England'],Right-Back,,Sheff Utd U18,,,"Jul 1, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
74,Junior Tchamadeu,851991,€1.50m,"Oct 6, 2025","Dec 22, 2003",21,1.8,Cameroon,[],Right-Back,,Stoke City,,,"Sep 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
75,Leo Hjelde,661208,€2.00m,"May 27, 2025","Aug 26, 2003",22,1.9,Norway,"['Norway', 'England']",Left-Back,"             0
0  Centre-Back",Sunderland,,,"Jan 30, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
76,Florian Bianchini,715923,€2.00m,"May 27, 2025","Jun 25, 2001",24,1.77,France,"['DR Congo', 'France']",Right Winger,"                0
0  Centre-Forward
1     Left Winger",Portsmouth,,,"Jul 31, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
77,Joseph Hatch,998600,,,"Sep 7, 2006",19,,Wales,"['Wales', 'England']",Centre-Forward,,Plymouth,,,"Jul 1, 2025","Jan 2, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
78,Ayman Benarous,742494,€200k,"May 27, 2025","Jul 27, 2003",22,1.73,England,[],Central Midfield,,Plymouth,,,"Jul 8, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
79,Jamie Paterson,156886,€300k,"May 27, 2025","Dec 20, 1991",33,1.75,England,[],Attacking Midfield,,Plymouth,,,"Jul 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
80,Michael Frey,147043,€800k,"May 27, 2025","Jul 19, 1994",31,1.88,Switzerland,['Switzerland'],Centre-Forward,"                0
0  Second Striker",QPR,,,"Jan 28, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
81,Callum Robinson,183299,€1.60m,"May 27, 2025","Feb 2, 1995",30,1.78,Ireland,[],Centre-Forward,,Cardiff,,,"Sep 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
82,Luis Binks,471004,€2.20m,"May 27, 2025","Sep 2, 2001",24,1.9,England,"['Scotland', 'England']",Centre-Back,,Bröndby IF,,,"Jul 29, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
83,Mattie Pollock,624948,€1.50m,"May 27, 2025","Sep 28, 2001",24,1.9,England,[],Centre-Back,,Watford,,,"Jul 1, 2021","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
84,Kieran Petrie,906427,,,"Dec 16, 2004",20,1.73,England,"['Montserrat', 'England']",Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Without Club,QPR U21,"Sep 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
85,Kayden Jackson,378872,€250k,"May 27, 2025","Feb 22, 1994",31,1.81,England,[],Centre-Forward,,Derby,,,"Jul 2, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
86,Vitinho,468249,€6.00m,"Jun 6, 2025","Jul 23, 1999",26,1.74,Brazil,[],Right-Back,,Botafogo,,,"Aug 30, 2024","Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
87,Sonny Finch,865970,€75k,"May 27, 2025","Aug 5, 2005",20,1.8,England,['England'],Centre-Forward,"                0
0  Second Striker",Boro U21,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
88,Ronnie Edwards,732165,€3.80m,"May 27, 2025","Mar 28, 2003",22,1.85,England,[],Centre-Back,,Southampton,,,"Jul 3, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
89,Max Woltman,696326,,,"Aug 20, 2003",22,,England,[],Centre-Forward,,Macclesfield,,,"Oct 17, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
90,Max Bird,486464,€4.00m,"Oct 6, 2025","Sep 18, 2000",25,1.83,England,[],Central Midfield,,Bristol City,,,"Feb 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
91,Leo Pecover,1295679,,,"Apr 9, 2008",17,1.76,England,['England'],Attacking Midfield,"                  0
0  Central Midfield
1    Right Midfield",Bristol U18,,,-,-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
92,Jerry Yates,351261,€2.80m,"May 27, 2025","Nov 10, 1996",29,1.75,England,['England'],Centre-Forward,"              0
0  Right Winger
1   Left Winger",Luton,,,"Aug 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
93,Grant Hanley,121385,€600k,"Jun 18, 2025","Nov 20, 1991",34,1.88,Scotland,['Scotland'],Centre-Back,,Hibernian FC,,,"Aug 5, 2025","May 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
94,Owen Hampson,967340,€50k,"Jun 17, 2025","Nov 17, 2004",21,,Wales,[],Central Midfield,,Sheff Utd U21,,,"Jul 1, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
95,Marvin Mehlem,237226,€2.00m,"Jun 19, 2025","Sep 11, 1997",28,1.74,Germany,[],Attacking Midfield,,Arm. Bielefeld,,,"Jul 8, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
96,Tom Bloxham,907216,€250k,"May 27, 2025","Apr 30, 2005",20,,Ireland,[],Left Winger,,GC Zürich U21,,,"Sep 11, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
97,Femi Azeez,703408,€1.20m,"May 27, 2025","Jun 5, 2001",24,1.81,England,[],Right Midfield,,Millwall,,,"Aug 21, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
98,Conor Shaughnessy,255626,€1.00m,"Oct 6, 2025","Jun 30, 1996",29,1.91,Ireland,[],Centre-Back,,Portsmouth,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
99,Nat Phillips,371814,€3.50m,"Oct 6, 2025","Mar 21, 1997",28,1.9,England,[],Centre-Back,,West Brom,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
100,Daniel Grimshaw,339253,€700k,"Oct 6, 2025","Jan 16, 1998",27,1.85,England,['England'],Goalkeeper,,Norwich,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
